          90
  Q    S(Q)
 0.1  0.032
 0.2  0.032
 0.3  0.032
 0.4  0.032
 0.5  0.033
 0.6  0.033
 0.7  0.034
 0.8  0.035
 0.9  0.037
 1.0  0.040
 1.1  0.045
 1.2  0.050
 1.3  0.056
 1.4  0.060
 1.5  0.070
 1.6  0.080
 1.7  0.092
 1.8  0.104
 1.9  0.125
 2.0  0.146
 2.1  0.186
 2.2  0.249
 2.3  0.345
 2.4  0.494
 2.5  0.717
 2.6  1.034
 2.7  1.472
 2.8  1.946
 2.9  2.333
 3.0  2.405
 3.1  2.094
 3.2  1.711
 3.3  1.412
 3.4  1.162
 3.5  0.971
 3.6  0.844
 3.7  0.763
 3.8  0.706
 3.9  0.676
 4.0  0.665
 4.1  0.659
 4.2  0.666
 4.3  0.684
 4.4  0.710
 4.5  0.747
 4.6  0.796
 4.7  0.853
 4.8  0.917
 4.9  0.982
 5.0  1.048
 5.1  1.106
 5.2  1.152
 5.3  1.184
 5.4  1.204
 5.5  1.210
 5.6  1.204
 5.7  1.191
 5.8  1.170
 5.9  1.140
 6.0  1.105
 6.1  1.066
 6.2  1.026
 6.3  0.983
 6.4  0.947
 6.5  0.917
 6.6  0.892
 6.7  0.878
 6.8  0.874
 6.9  0.877
 7.0  0.883
 7.1  0.894
 7.2  0.908
 7.3  0.928
 7.4  0.949
 7.5  0.977
 7.6  1.006
 7.7  1.030
 7.8  1.050
 7.9  1.068
 8.0  1.077
 8.1  1.083
 8.2  1.089
 8.3  1.086
 8.4  1.081
 8.5  1.074
 8.6  1.064
 8.7  1.051
 8.8  1.037
 8.9  1.022
 9.0  1.006
