0.0427(7)	0.1681(21)	0.5240(37)	0.1932(20)	0.0687(3)	0.0717(5)	0.0995(6)	0.0822(6)
0.0424(5)	0.1663(18)	0.5136(31)	0.1921(14)	0.0687(2)	0.0714(4)	0.0993(5)	0.0821(5)
0.0415(5)	0.1612(22)	0.4853(38)	0.1891(14)	0.0686(3)	0.0707(4)	0.0986(5)	0.0820(6)
0.0400(5)	0.1534(25)	0.4438(40)	0.1839(13)	0.0684(3)	0.0695(4)	0.0975(5)	0.0818(7)
0.0382(5)	0.1436(23)	0.3943(35)	0.1767(13)	0.0680(4)	0.0680(4)	0.0960(5)	0.0826(19)
0.0360(5)	0.1325(20)	0.3431(25)	0.1681(13)	0.0673(4)	0.0662(4)	0.0942(5)	0.0823(19)
0.0337(5)	0.1210(16)	0.2943(16)	0.1586(15)	0.0663(4)	0.0644(6)	0.0920(5)	0.0818(18)
0.0312(4)	0.1097(13)	0.2500(17)	0.1489(18)	0.0649(3)	0.0625(7)	0.0896(6)	0.0810(17)
0.0288(4)	0.0988(11)	0.2117(13)	0.1393(19)	0.0632(4)	0.0607(7)	0.0870(7)	0.0799(15)
0.0265(4)	0.0885(9)	0.1799(17)	0.1295(18)	0.0611(4)	0.0589(7)	0.0843(8)	0.0784(13)
0.0243(3)	0.0788(8)	0.1535(29)	0.1199(16)	0.0589(5)	0.0572(6)	0.0814(8)	0.0766(15)
0.0195(3)	0.0582(6)	0.1052(27)	0.0970(12)	0.0534(7)	0.0526(4)	0.0741(9)	0.0715(14)
0.0157(2)	0.0435(7)	0.0713(18)	0.0773(11)	0.0482(9)	0.0476(4)	0.0669(8)	0.0664(7)
0.0129(2)	0.0335(10)	0.0520(5)	0.0616(7)	0.0435(10)	0.0427(4)	0.0599(7)	0.0618(9)
0.0108(2)	0.0255(6)	0.0361(4)	0.0494(4)	0.0389(9)	0.0382(3)	0.0532(5)	0.0571(7)
0.0091(2)	0.0194(3)	0.0283(4)	0.0392(3)	0.0343(5)	0.0341(2)	0.0469(5)	0.0524(10)
0.0077(2)	0.0156(5)	0.0204(4)	0.0312(6)	0.0300(3)	0.0303(2)	0.0413(4)	0.0476(8)
0.0066(1)	0.0124(6)	0.0156(6)	0.0248(9)	0.0262(3)	0.0269(2)	0.0363(4)	0.0429(10)
0.0056(1)	0.0094(4)	0.0115(7)	0.0194(5)	0.0230(3)	0.0241(2)	0.0319(4)	0.0384(10)
0.0048(1)	0.0072(2)	0.0092(5)	0.0153(3)	0.0201(2)	0.0215(2)	0.0281(3)	0.0344(9)
0.0041(1)	0.0059(3)	0.0068(4)	0.0121(3)	0.0175(2)	0.0190(2)	0.0246(2)	0.0308(8)
0.0035(1)	0.0045(1)	0.0053(3)	0.0097(3)	0.0151(2)	0.0167(2)	0.0214(3)	0.0275(7)
0.0030(1)	0.0040(4)	0.0046(3)	0.0081(2)	0.0130(1)	0.0147(2)	0.0186(3)	0.0246(7)
0.0026(1)	0.0030(1)	0.0038(3)	0.0065(2)	0.0112(1)	0.0130(2)	0.0161(4)	0.0219(7)
0.0022(1)	0.0023(1)	0.0029(2)	0.0049(2)	0.0095(1)	0.0115(1)	0.0140(3)	0.0194(6)
0.0018(1)	0.0022(2)	0.0022(1)	0.0043(2)	0.0081(1)	0.0101(1)	0.0126(3)	0.0172(3)
0.0016(1)	0.0019(3)	0.0017(1)	0.0034(1)	0.0070(2)	0.0091(1)	0.0110(2)	0.0152(3)
0.0010(0)	0.0011(1)	0.0011(1)	0.0019(2)	0.0051(1)	0.0068(2)	0.0084(2)	0.0117(2)
0.0007(1)	0.0007(0)	0.0009(1)	0.0015(1)	0.0036(1)	0.0056(1)	0.0063(2)	0.0090(2)
0.0004(1)	0.0005(1)	0.0005(1)	0.0010(2)	0.0024(1)	0.0038(1)	0.0048(1)	0.0068(2)
0.0003(1)	0.0003(1)	0.0004(1)	0.0007(2)	0.0017(1)	0.0028(1)	0.0036(1)	0.0052(2)
0.0002(1)	0.0002(1)	0.0003(1)	0.0005(2)	0.0011(1)	0.0020(1)	0.0027(1)	0.0040(2)
0.0001(1)	0.0002(1)	0.0002(1)	0.0003(2)	0.0008(1)	0.0015(1)	0.0020(1)	0.0030(2)
0.0001(1)	0.0001(1)	0.0002(1)	0.0003(2)	0.0006(1)	0.0010(1)	0.0015(1)	0.0023(2)
0.0001(1)	0.0001(1)	0.0001(1)	0.0002(2)	0.0004(1)	0.0008(1)	0.0011(1)	0.0017(2)
0.0001(1)	0.0001(1)	0.0001(1)	0.0002(2)	0.0003(1)	0.0006(1)	0.0009(1)	0.0013(2)
0.0001(1)	0.0000(1)	0.0001(1)	0.0001(2)	0.0002(1)	0.0004(1)	0.0007(1)	0.0010(2)
